follow,続く、従う
tremble,ふるえる
seize,をつかむ
abolish,を廃止する
scold,をしかる
attain,を達成する
utter,を発する
flee,逃げる
offend,を怒らせる
confess,と告白する
postpone,を延期する
drift,ただよう
weave,を織る
install,を備えつける
twist,をねじ曲げる
extract,を取り出す
bump,ぶつかる
despise,を軽蔑する
tolerate,を我慢する
boast,自慢する
flourish,栄える
disregard,を無視する
tease,をからかう
reinforce,を強める
strive,努力する
coordinate,を強調させる
yawn,あくびをする
hug,抱きしめ
combat,と戦う
boost,を活気づける
sphere,領域、範囲
sequence,連続（するもの）、順序、順番
deposit,預金、頭金、堆積物
poll,世論調査、投票
caution,用心
rage,激怒、怒り
formula,方法、秘けつ、解決策、式、公式
plot,（小説・演劇などの）筋、陰謀、たくらみ
scope,範囲
norm,（ある社会の）規範
disgust,嫌悪
canal,運河
curse,災いのもと、呪い
paradox,逆説
tissue,（動植物の細胞から成る）組織
breakdown,〈組織・関係などの〉崩壊
initiative,主導権、自発性、独創性
fabric,織物、布、組織、構造
publicity,宣伝、広告
summit,頂上、頂点、首脳会議
flock,（鳥・羊などの）群れ
plague,疫病、～を苦しめる
haste,急ぐこと
nap,うたた寝
ally,同盟国
draft,下書き、草稿
spectable,光景
premise,前提
assest,財産
lag,遅れ
therapy,療法、治療法
reception,もてなし
compound,化合物
blessing,ありがたいもの、恵み
sensation,感覚、感じ
recession,不景気、不況
pole,棒、（天体の）極
outlook,考え方、態度、見通し、見込み
endeavor,活動
mercy,慈悲、情け
counterpart,Ａに相当するもの
session,（ある活動の）期間、討論
pill,錠剤
junk,くず、がらくた
fatigue,疲労
fame,名声
mess,めちゃくちゃ
decay,腐敗
dignity,尊厳
compromise,妥協
drought,干ばつ
despair,絶望
interval,間隔
luggage,荷物
blossom,花
impluse,衝動
hatred,憎しみ
beast,野獣
superstition,迷信
illusion,幻想
thread,糸
plow,すき
feast,宴会
transition,移り変わり
misery,悲惨さ
radiation,放射線
log,丸太
consensus,合意
deed,行い
proverb,ことわざ
compliment,ほめ言葉
flame,炎
anniversar,記念日y
conscience,良心
expedition,探検
offspring,子孫
allowance,こづかい
headline,大見出し
treaty,条約
monument,記念碑
worm,虫
remedy,治療法
encyclopedia,百科事典
glimpse,ちらり
personnel,職員
triumph,勝利
arithmetic,算数
self-esteem,自尊心
fog,霧
odds,可能性
chaos,混沌
destiny,運命
diameter,直径
meadow,牧草地
souvenir,みやげ物
trail,小道
ratio,比率
sword,剣
realm,領域
sentiment,感情
chore,雑用
courtesy,礼儀正しい
mayor,市長
reign,統治
trash,ゴミ
prestige,名声
hierarchy,階級制度
wilderness,荒野
orbit,軌道
bias,偏見
republic,共和国
bargain,掘り出し物
contempt,軽蔑
fragment,破片
galaxy,星雲
lap,ひざ
deadline,締め切り
bullet,弾丸
pedestrian,歩行者
wit,機知
nuisance,迷惑
criteria,基準
hardship,苦難
glory,栄光
sin,罪
navy,海軍
script,台本
pension,年金
timber,材木
surplus,余剰
moisture,水分
peasant,小作農
garment,衣服
textile,織物
tuition,授業料
troop,軍隊
primate,霊長類
friction,摩擦
nephew,甥
altitude,高度
diagnosis,診断
commerce,商業
limb,手足
fraction,ほんの一部
irony,皮肉
nightmare,悪夢
defect,欠陥
witch,魔女
scent,香り
erosion,浸食
millionaire,百万長者
skeleton,骨格
grace,優雅さ
landmark,名所
torture,拷問
flesh,肉
collision,衝突
hazard,危険なもの
tomb,墓
brow,額
sightseeing,観光
leather,革
jewelry,宝石
cue,合図
ambulance,救急車
estate,不動産
commodity,商品
departure,出発
phase,段階
thief,泥棒
saint,聖
consent,同意
grief,悲しみ
lane,車線
bulk,大部分
fluid,液
communist,共産主義の
bride,花嫁
intervention,介入
margin,差
biography,伝記
sculpture,彫刻
volcano,火山
rebel,反逆者
metaphor,比喩
legislation,法律
lightning,雷
pesticide,殺虫剤
column,コラム
rumor,うわさ
dust,ほこり
dialogue,対話
kindergarten,幼稚園
tourism,観光
obesity,肥満
patent,特許
chapter,章
palace,宮殿
laundry,洗濯
ward,病棟
epidemic,流行
equation,方程式
archaeologist,考古学者
corruption,腐敗
apt,Ｖしがちである、Ｖする傾向がある
humble,謙虚な、粗末な
entitled,Ａを得る[する]権利がある、～と題された
valid,妥当な、正当な、（切符・文書などが）有効な
faint,かすかな、気絶する
stiff,堅い、堅苦しい
obscure,わかりにくい
fierce,（競争・反対・嵐などが）激しい
acute,（問題が）深刻な、（感覚・痛みが）鋭い
idle,（仕事がなくて）何もしていない
crude,粗末な、粗野な
jealous,しっと深い、うらやましい
pregnant,妊娠している
liable,Ｖしがちである、可能性が高い
intent,没頭した
decent,（世間から見て）まともな
marvelous,驚くべき
misleading,誤解を招く
tame,飼いならされた、なれた
classical,〈音楽が〉クラシックの
Muslim,イスラム教の
grave,重大な
fertile,肥えた
hostile,敵意を持つ
indispensable,不可欠だ
alert,用心する
trivial,ささいな
oriented,志向の
splendid,すばらしい
competent,有能な
supreme,最高の
sheer,まったくの
sacred,聖
bold,大体な
uneasy,不安な
neat,きちんとした
shallow,浅い
loyal,忠実な
superficial,表面的な
absurd,ばかげた
fragile,壊れやすい
respectable,ちゃんとした
magnificent,すばらしい
infinite,無限の
comprehensive,包括的
steep,険しい
gross,総
subsequent,次に起こる
sincere,誠実な
timid,おくびょうな
neutral,中立の
diligent,勤勉な
sore,痛い
contaminated,汚染された
ambiguous,どちらとも取れる
oral,口述の
restless,落ち着かない
savage,野蛮な
vigorous,精力的な
immense,莫大な
metropolitan,大都市
punctual,時間をきっちり守る
solitary,孤独な
collective,集団
diplomatic,外交
brutal,残忍な
helpless,無力な
arrogant,ごう慢な
bankrupt,破産した
eternal,永遠の
sole,唯一の
gloomy,暗い
notable,注目すべき
affluent,裕福な
naked,裸の
vocal,発声
feminine,女性の
vacant,空いている
exotic,外来の
cognitive,認知
humid,蒸し暑い
outstanding,傑出した
addicted,中毒である
vulnerable,受けやすい
spontaneous,自然に起こる
greedy,どん欲だ
thirsty,のどが渇く
per capita,一人当たりの
inherent,元から伴う
promising,前途有望な
physiological,生理的な
clinical,臨床
chronic,慢性の
geological,地質学的な
countless,無数の
simultaneously,同時に
utterly,まったく
upright,まっすぐに
overnight,一晩
thereby,そうすることで
via,経由で
namely,すなわち
frankly,率直に
hence,だから
proclaim,と宣言する
smash,を粉々に砕く
mourn,を悲しむ
summon,を呼ぶ
shatter,を粉々にする
linger,残る
lament,を嘆く
endow,に恵まれる
rejoice,喜ぶ
whip,をむち打つ
slap,をピシャリと打つ
contend,と主張する
swear,と誓う
discern,を識別する
degrade,を悪化させる
erect,を築く・立てる
testify,証言する
spur,を駆りたてる
roam,を歩き回る
chew,かむ
lure,誘い込む
defy,に逆らう
stroll,ぶらつく
dispense,なしですます
reconcile,を調和させる
blur,をぼやかす
soothe,をなだめる
impair,を低下させる
comply,従う
pierce,に穴をあける
stumble,つまずく
hinder,をさまたげる
mock,をあざける
embody,を具現する
insert,を差し込む
stalk,に忍び寄る
clarify,を明らかにする
applaud,拍手する
inflict,を与える
merge,合併する
reckon,と考える
undone,元に戻る
poke,を突く
tumble,落ちる
adhere,固く守る
compile,をまとめる
wither,しぼむ
stun,をびっくりさせる
choke,のどがつまる
deteriorate,悪化する
evade,をのがれる
murmur,つぶやく
console,をなぐさめる
duplicate,を複製する
divert,をそらす
slaughter,を虐殺する
reap,を手に入れる
affirm,と断言する
knit,を編む
ponder,を熟考する
embark,乗り出す
vow,を誓う
foresee,を予知する
adore,を崇拝する
yearn,切望する
undermine,を弱める
suck,を吸う
pledge,を誓う
intrude,立ち入る
sue,を訴える
rot,腐敗する
extinguish,を消す
perplex,困惑させる
curb,を抑制する
withstand,に耐える
expel,を追放する
recite,を暗唱する
glitter,輝く
plead,嘆願する
contemplate,を考える
discharge,を放出する
preach,説教する
rattle,をがたがた鳴らす
retrieve,を検索する
shrug,をすくめる
evoke,を呼び起こす
haunt,つきまとわれる
disguise,を隠す
flatter,におせじを言う
prose,散文
germ,細菌
thermometer,温度計
province,州
masterpiece,傑作
revenue,収入
riot,暴動
breakthrough,飛躍的進歩
apparatus,装置
fuss,大騒ぎ
deficiency,欠乏
heir,相続人
equator,赤道
petroleum,石油
certificate,証明書
vapor,蒸気
probe,探査機
doctrine,教義
scorn,軽蔑
prophet,予言者
breeze,そよ風
pavement,歩道
ornament,飾り
spouse,配偶者
wrinkle,しわ
queue,列
stake,賭け金
ambassador,大使
jury,陪審員
dismay,落胆
lump,こぶ
lottery,宝くじ
outbreak,ぼっ発
feat,偉業
temperament,気質
chill,寒気
deficit,赤字
predecessor,前任
entity,存在
hospitality,歓迎
mortality,死亡
narrative,話
segment,部分
catastrophe,大災害
monarch,君主
cradle,ゆりかご
coward,おくびょう者
cosmos,宇宙
aisle,通路
headquarters,本部
toll,通行料
transaction,取引
syndrome,症候群
burglar,強盗
tyranny,圧政
parasite,寄生生物
intuition,直感
incentive,はげみ
legacy,遺産
retail,小売り
vein,静脈
discourse,論説
diploma,卒業証書
propaganda,宣伝
outlet,はけ口
apprehension,不安
melancholy,憂鬱
novelty,目新しさ
specimen,標本
barbarian,野蛮人
tactics,戦術
monopoly,独占
token,印
aristocracy,貴族階級
revenge,復讐
persecution,迫害
rhetoric,美辞麗句
harassment,いやがらせ
census,国勢調査
verge,瀬戸際
advent,出現
analogy,類似点
irrigation,かんがい
coverage,報道
cuisine,料理
menace,脅威
peril,危険
antiquity,古代
assault,攻撃
plight,苦境
autonomy,自主性
cram,塾
subsidy,補助金
indignation,怒り
slang,俗語
posture,姿勢
ideology,イデオロギー
supervisor,監督者
tumor,腫瘍
intersection,交差点
excursion,遠足
deforestation,森林破壊
precaution,用心
orchard,果樹園
shortcoming,欠点
aspiration,熱望
psychiatrist,精神科医
shipping,発送
senator,上院議員
statesman,政治家
subordinate,部下
vacuum,空白
quest,探究
meditation,瞑想
subscriber,加入者
riddle,謎
rag,ぼろ
rust,さび
sanitation,衛生
midst,まっただ中
mischief,いたずら
weed,雑草
recollection,記憶
latitude,緯
flaw,欠陥
botanist,植物学者
heredity,遺伝
domain,領域
censorship,検閲制度
dose,量
integrity,誠実
freight,貨物
bride,わいろ
eruption,噴火
cloning,クローニング
appliance,器具
predator,捕食動物
recipe,秘けつ
ash,灰
whistle,笛
plantation,農園
intake,摂取量
vending,販売
beverage,飲み物
orphan,孤児
neuron,ニューロン
vegetation,植生
warrior,戦士
mutation,突然変異
sewage,下水
metabolism,新陳代謝
paradigm,理論的枠組
protocol,議定書
skyscraper,超高層ビル
accord,一致
bureaucrat,官僚
stubborn,頑固な
renowned,有名な
transparent,透き通った
dim,薄暗い
grim,きびしい
legitimate,正当な
weary,疲れている
swift,すばやい
naive,世間知らずの
dumb,ばか
sour,すっぱい
furious,激怒した
earnest,まじめな
terrific,すばらしい
vertical,垂直な
wicked,邪悪な
subjective,主観的な
enlightened,進んだ考えの
feudal,封建
nasty,不快な
dizzy,めまい
straightforward,わかりやすい
solemn,荘厳な
damp,湿った
static,静
doomed,運命にある
stern,厳格な
innumerable,無数の
clumsy,不器用な
aesthetic,美的
obsessed,とりつかれる
detached,切り離された
innate,先天的な
wrecked,難破した
reckless,無謀な
explicit,露骨な
preoccupied,頭がいっぱいだ
gigantic,巨大な
conspicuous,顕著な
slender,すらりとした
manifest,明らかな
tidy,きちんと
naughty,いたずらな
skeptical,懐疑的な
notorious,悪名高い
anonymous,匿名の
monotonous,単調な
ample,豊富に
trim,こぎれいな
toxic,有毒な
afflicted,苦しんでいる
eloquent,雄弁な
foul,不快な
juvenile,青少年の
compulsory,義務
prone,やすい
arbitrary,勝手な
ingenious,独創的な
divine,神聖なる
tender,やさしい
outraged,憤慨している
eccentric,風変わりな
paralyzed,麻痺している
compatible,適合する
patriotic,愛国的な
eminent,名高い
fake,にせ物の
insane,気が狂っている
bewildered,当惑する
vulgar,下品な
secondhand,間接
indigenous,先住
utmost,最も
stray,宿なしの
intricate,複雑な
daring,大胆な
mighty,強力な
barren,不毛の
ultraviolet,紫外
intriguing,興味深い
merry,陽気な
synthetic,合成
perpetual,永続する
integral,不可欠な
hybrid,ハイブリッド
spinal,脊椎の
drastically,劇的に
abruptly,不意に
Conversely,逆に
predominatly,主に
lest,しないように
